"field"	"review_value"
"evidence_question"	"Which responsibility boundary must be visible before the record is approved?"
"source_fact"	"system steward retained review register for p03-src-006320"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"risk treatment worksheet"
"review_observation"	"the local conclusion did not depend on a portal or live endpoint"
"challenge_performed"	"a stale approval was compared with the current ownership assignment"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
