"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","records owner retained disposition record for p03-src-001024"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","process walkthrough note"
"review_observation","the retained fact predated the decision by one review cycle"
"challenge_performed","a missing custodian was treated as a review failure"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule","Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
