"field","review_value"
"evidence_question","How does the review distinguish complete evidence from an unsupported assertion?"
"source_fact","named control owner retained approval boundary for p03-src-008096"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","reviewer observation log"
"review_observation","the conclusion matched the scope of the stated control"
"challenge_performed","an exception rationale was tested for a documented decision rule"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule","Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
