"field"	"review_value"
"evidence_question"	"Which responsibility boundary must be visible before the record is approved?"
"source_fact"	"detection owner retained coverage record for p03-src-006348"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"policy-to-practice comparison"
"review_observation"	"the conclusion identified the next assurance trigger"
"challenge_performed"	"a missing date was treated as a traceability concern"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule"	"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-14"
