"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","records owner retained disposition record for p03-src-003123"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","change-impact assessment"
"review_observation","the review basis could be repeated by a successor"
"challenge_performed","a local conclusion was checked for reliance on external access"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule","Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
