"field"	"review_value"
"evidence_question"	"Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact"	"named control owner retained approval boundary for p03-src-001656"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"exception decision sheet"
"review_observation"	"the rationale accounted for an incomplete sample"
"challenge_performed"	"a generic assurance phrase was rejected pending source facts"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule"	"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-14"
