run_id	synthetic_sample_id	well	read_au	unit
BETA-B16-R02	OCW-B16-001	B01	1.156	AU
BETA-B16-R02	OCW-B16-002	B02	1.18	AU
BETA-B16-R02	OCW-B16-003	B03	1.204	AU
BETA-B16-R02	OCW-B16-004	B04	1.227	AU
BETA-B16-R02	OCW-B16-005	B05	1.133	AU
BETA-B16-R02	OCW-B16-006	B06	1.156	AU
BETA-B16-R02	OCW-B16-007	B07	1.18	AU
BETA-B16-R02	OCW-B16-008	B08	1.204	AU
BETA-B16-R02	OCW-B16-009	B09	1.227	AU
BETA-B16-R02	OCW-B16-010	B10	1.133	AU
BETA-B16-R02	OCW-B16-011	B11	1.156	AU
BETA-B16-R02	OCW-B16-012	B12	1.18	AU
BETA-B16-R02	OCW-B16-013	B13	1.204	AU
BETA-B16-R02	OCW-B16-014	B14	1.227	AU
BETA-B16-R02	OCW-B16-015	B15	1.133	AU
BETA-B16-R02	OCW-B16-016	B16	1.156	AU
