field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
source_fact,system steward retained review register for p03-src-009379,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
evidence_instrument,change-impact assessment,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_observation,the record explained why an exception remained open,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
challenge_performed,a stale approval was compared with the current ownership assignment,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
