field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
source_fact,change sponsor retained implementation record for p03-src-008606,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
evidence_instrument,control test worksheet,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_observation,the record explained why an exception remained open,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
challenge_performed,an unassigned exception was tested against the escalation route,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using retention basis and follow-up condition; the reviewer retained a challenge response.
