field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
source_fact,records owner retained disposition record for p03-src-005179,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
evidence_instrument,control narrative comparison,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
review_observation,the evidence sequence exposed a material dependency,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
challenge_performed,an incomplete register was challenged for its missing decision rule,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
counterexample,A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer retained a challenge response.
