field,review_value,review_period,review_period_context
evidence_question,Which responsibility boundary must be visible before the record is approved?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
source_fact,risk owner retained decision record for p03-src-007379,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
evidence_instrument,assumption challenge log,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_observation,the reviewer could locate the controlling decision without inference,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
challenge_performed,a single reviewer conclusion was checked for independent challenge,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer preserved an escalation decision.
