field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
source_fact,service owner retained contract evidence for p03-src-008536,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
evidence_instrument,evidence freshness check,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
challenge_performed,a control objective was tested for a measurable outcome,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
