field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
source_fact,service owner retained contract evidence for p03-src-007979,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
evidence_instrument,change-impact assessment,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_observation,the approval boundary matched the operating record,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
challenge_performed,a missing custodian was treated as a review failure,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
counterexample,A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
decision_rule,Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
