field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
source_fact,records owner retained disposition record for p03-src-005979,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
evidence_instrument,exception ageing report,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_observation,the evidence could be followed without an external system,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
challenge_performed,a broad claim was narrowed to the observable control action,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
