"field","review_value"
"evidence_question","Which responsibility boundary must be visible before the record is approved?"
"source_fact","records owner retained disposition record for p03-src-005707"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","assumption challenge log"
"review_observation","the record explained the relationship between policy and practice"
"challenge_performed","a handover gap was assessed for accountability loss"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
