"field","review_value"
"evidence_question","Which responsibility boundary must be visible before the record is approved?"
"source_fact","service owner retained contract evidence for p03-src-007997"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","reviewer observation log"
"review_observation","the review showed how contradictory evidence was resolved"
"challenge_performed","a control objective was tested for a measurable outcome"
"review_profile","the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule","Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
