"field"	"review_value"
"evidence_question"	"How should a conflicting source be handled before the disposition is recorded?"
"source_fact"	"records owner retained disposition record for p03-src-004747"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"training completion record"
"review_observation"	"the record explained why an exception remained open"
"challenge_performed"	"a conflicting approval was escalated instead of silently merged"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule"	"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
