"field","review_value"
"evidence_question","How should a conflicting source be handled before the disposition is recorded?"
"source_fact","named control owner retained approval boundary for p03-src-001879"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","handover checklist"
"review_observation","the exception was linked to a compensating action"
"challenge_performed","a missing custodian was treated as a review failure"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule","Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-20"
