"field"	"review_value"
"evidence_question"	"Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact"	"risk owner retained decision record for p03-src-006883"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"meeting decision minute"
"review_observation"	"the source chronology did not conceal a late correction"
"challenge_performed"	"a contradictory note was reconciled against the retained source"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule"	"Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
