"field"	"review_value"
"evidence_question"	"What observable evidence demonstrates that the stated control objective is met?"
"source_fact"	"service owner retained contract evidence for p03-src-008418"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"quality review annotation"
"review_observation"	"the accountable role was preserved through handover"
"challenge_performed"	"a late evidence submission was separated from the original decision"
"review_profile"	"the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule"	"Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
