"field","review_value"
"evidence_question","How does the review distinguish complete evidence from an unsupported assertion?"
"source_fact","named control owner retained approval boundary for p03-src-007823"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","control-to-evidence map"
"review_observation","the evidence owner confirmed the record's completeness"
"challenge_performed","a scope boundary was compared with the evidence collection boundary"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule","Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
