field	review_value	review_period	review_period_context
evidence_question	Which review question exposes a gap between policy language and operating evidence?	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
source_fact	detection owner retained coverage record for p03-src-007348	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
evidence_instrument	asset accountability list	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
review_observation	the exception route was visible to an independent reviewer	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
challenge_performed	a contradictory note was reconciled against the retained source	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
counterexample	A complete-looking register is not reliable if the decision rule and disposition are absent.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
decision_rule	Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using access attestation and compensating action; the reviewer set a follow-up assurance trigger.
