field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
source_fact,service owner retained contract evidence for p03-src-002339,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
evidence_instrument,handover checklist,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
challenge_performed,a change record was tested for reviewer independence,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This siem export review window evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer recorded a bounded exception.
