"field","review_value"
"evidence_question","What observable evidence demonstrates that the stated control objective is met?"
"source_fact","service owner retained contract evidence for p03-src-005236"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","outcome verification note"
"review_observation","the local conclusion did not depend on a portal or live endpoint"
"challenge_performed","a missing date was treated as a traceability concern"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule","Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-20"
