field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
source_fact,change sponsor retained implementation record for p03-src-006752,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
evidence_instrument,recertification record,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
review_observation,the source record separated assertion from corroboration,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
challenge_performed,an unsupported completion status was tested for underlying proof,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using retention basis and follow-up condition; the reviewer identified a corroboration need.
