field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
source_fact,detection owner retained coverage record for p03-src-006923,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
evidence_instrument,assumption challenge log,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_observation,the approval boundary matched the operating record,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
challenge_performed,a missing custodian was treated as a review failure,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
