field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
source_fact,named control owner retained approval boundary for p03-src-007452,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
evidence_instrument,outcome verification note,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
review_observation,the source chronology did not conceal a late correction,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
challenge_performed,a single reviewer conclusion was checked for independent challenge,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer recorded a bounded exception.
