field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
source_fact,risk owner retained decision record for p03-src-005352,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
evidence_instrument,sampling rationale,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_observation,the approved scope was not expanded beyond the available evidence,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
challenge_performed,a control objective was tested for a measurable outcome,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer documented an ownership check.
