field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
source_fact,system steward retained review register for p03-src-006052,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
evidence_instrument,service inventory snapshot,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_observation,the source record separated assertion from corroboration,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
challenge_performed,a control objective was tested for a measurable outcome,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
