field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
source_fact,system steward retained review register for p03-src-005666,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
evidence_instrument,training completion record,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_observation,the verification date was visible beside the source fact,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
challenge_performed,a retained file was assessed for evidence freshness,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using source chronology and decision traceability; the reviewer recorded a bounded exception.
