"field"	"review_value"
"evidence_question"	"What observable evidence demonstrates that the stated control objective is met?"
"source_fact"	"system steward retained review register for p03-src-008683"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control narrative comparison"
"review_observation"	"the conclusion identified the next assurance trigger"
"challenge_performed"	"a handoff record was assessed for continuity of evidence custody"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
