"field","review_value"
"evidence_question","What observable evidence demonstrates that the stated control objective is met?"
"source_fact","system steward retained review register for p03-src-007352"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","incident chronology"
"review_observation","the record explained the relationship between policy and practice"
"challenge_performed","a single reviewer conclusion was checked for independent challenge"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule","Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
