field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
source_fact,change sponsor retained implementation record for p03-src-005524,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
evidence_instrument,approval trail summary,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_observation,the review preserved a clear separation of duties,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
challenge_performed,a summary was checked against the underlying decision minute,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
counterexample,A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
decision_rule,Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
