field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
source_fact,system steward retained review register for p03-src-006224,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
evidence_instrument,reviewer observation log,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_observation,the reviewer could locate the controlling decision without inference,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
challenge_performed,a broad claim was narrowed to the observable control action,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
decision_rule,Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using source chronology and decision traceability; the reviewer accepted the retained basis.
