"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","response coordinator retained timeline evidence for p03-src-005225"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","sampling rationale"
"review_observation","the conclusion matched the scope of the stated control"
"challenge_performed","a duplicated statement was not accepted as independent corroboration"
"review_profile","the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
