field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
source_fact,records owner retained disposition record for p03-src-008678,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
evidence_instrument,reviewer observation log,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_observation,the local conclusion did not depend on a portal or live endpoint,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
challenge_performed,a local conclusion was checked for reliance on external access,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer recorded a bounded exception.
