field,review_value,review_period,review_period_context
evidence_question,What minimal trace proves that the control remains attributable to its owner?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
source_fact,response coordinator retained timeline evidence for p03-src-005878,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
evidence_instrument,reviewer observation log,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
review_observation,the local conclusion did not depend on a portal or live endpoint,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
challenge_performed,a missing date was treated as a traceability concern,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using control boundary and operating ownership; the reviewer retained a challenge response.
