field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
source_fact,system steward retained review register for p03-src-008778,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
evidence_instrument,exception decision sheet,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
review_observation,the approval boundary matched the operating record,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
challenge_performed,a change record was tested for reviewer independence,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
counterexample,A file name is not a substitute for the source facts that support the conclusion.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using source chronology and decision traceability; the reviewer documented an ownership check.
