field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
source_fact,records owner retained disposition record for p03-src-006678,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
evidence_instrument,control narrative comparison,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
review_observation,the rationale accounted for an incomplete sample,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
challenge_performed,a change record was tested for reviewer independence,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer documented an ownership check.
