field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
source_fact,service owner retained contract evidence for p03-src-004478,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
evidence_instrument,service inventory snapshot,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_observation,the owner acknowledged a limitation without weakening traceability,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
challenge_performed,an exception rationale was tested for a documented decision rule,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
decision_rule,"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition.",2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer identified a corroboration need.
