field,review_value,review_period,review_period_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
source_fact,change sponsor retained implementation record for p03-src-009795,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
evidence_instrument,quality review annotation,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
review_observation,the conclusion identified the next assurance trigger,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
challenge_performed,a handover gap was assessed for accountability loss,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request retention disposition evidence metrics record was assessed using retention basis and follow-up condition; the reviewer set a follow-up assurance trigger.
