field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
source_fact,named control owner retained approval boundary for p03-src-004966,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
evidence_instrument,quality review annotation,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_observation,the reviewer identified the fact that would reverse the outcome,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
challenge_performed,an unsupported completion status was tested for underlying proof,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.
