"field"	"review_value"
"evidence_question"	"What decision can be made from the retained source material without external access?"
"source_fact"	"records owner retained disposition record for p03-src-009348"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"process walkthrough note"
"review_observation"	"the control boundary was explained in practical terms"
"challenge_performed"	"a generic assurance phrase was rejected pending source facts"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule"	"Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
