"field"	"review_value"
"evidence_question"	"Which responsibility boundary must be visible before the record is approved?"
"source_fact"	"change sponsor retained implementation record for p03-src-008647"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"asset accountability list"
"review_observation"	"the approval boundary matched the operating record"
"challenge_performed"	"a missing custodian was treated as a review failure"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A file name is not a substitute for the source facts that support the conclusion."
"decision_rule"	"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
