"field","review_value"
"evidence_question","Which responsibility boundary must be visible before the record is approved?"
"source_fact","system steward retained review register for p03-src-008824"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","versioned review register"
"review_observation","the record explained the relationship between policy and practice"
"challenge_performed","a contradictory note was reconciled against the retained source"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
