"field","review_value"
"evidence_question","Which review question exposes a gap between policy language and operating evidence?"
"source_fact","named control owner retained approval boundary for p03-src-005079"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","quality review annotation"
"review_observation","the source chronology did not conceal a late correction"
"challenge_performed","a broad claim was narrowed to the observable control action"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule","Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
