"field","review_value"
"evidence_question","Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact","system steward retained review register for p03-src-006136"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","policy-to-practice comparison"
"review_observation","the review showed how contradictory evidence was resolved"
"challenge_performed","a retained file was assessed for evidence freshness"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence."
"decision_rule","Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
