"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","response coordinator retained timeline evidence for p03-src-003580"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","signed ownership matrix"
"review_observation","the reviewer identified the fact that would reverse the outcome"
"challenge_performed","a recertification statement was tested for an actual review event"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule","Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
