"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","records owner retained disposition record for p03-src-004037"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","handover checklist"
"review_observation","the source record separated assertion from corroboration"
"challenge_performed","a late evidence submission was separated from the original decision"
"review_profile","the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule","Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
