field	review_value	review_period	review_period_context
evidence_question	Which responsibility boundary must be visible before the record is approved?	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
source_fact	service owner retained contract evidence for p03-src-002585	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
evidence_instrument	control-to-evidence map	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
review_observation	the evidence owner confirmed the record's completeness	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
challenge_performed	a missing date was treated as a traceability concern	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
review_profile	the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
counterexample	A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
decision_rule	Treat the control as effective only when the counterexample has been considered and the exception path is explicit.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer preserved an escalation decision.
