field,review_value,review_period,review_period_context,artifact_assigned_review_date,artifact_assigned_review_date_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
source_fact,named control owner retained approval boundary for p03-src-009224,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
evidence_instrument,change-impact assessment,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_observation,the disposition stated both confidence and residual uncertainty,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
challenge_performed,a retained file was assessed for evidence freshness,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_date,2026-07-13,2026 Q3,Review period: 2026 Q3. This review mail request update evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-15,Artifact-assigned review date: 2026-07-15. This mail request update evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
