"field","review_value"
"evidence_question","What observable evidence demonstrates that the stated control objective is met?"
"source_fact","records owner retained disposition record for p03-src-007679"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","issue disposition register"
"review_observation","the owner acknowledged a limitation without weakening traceability"
"challenge_performed","a claimed control was tested against a negative sample"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule","Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
