"field","review_value"
"evidence_question","How does the review distinguish complete evidence from an unsupported assertion?"
"source_fact","service owner retained contract evidence for p03-src-008207"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","handover checklist"
"review_observation","the record explained the relationship between policy and practice"
"challenge_performed","an exception rationale was tested for a documented decision rule"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule","Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
