"field","review_value"
"evidence_question","Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact","change sponsor retained implementation record for p03-src-007579"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","risk treatment worksheet"
"review_observation","the evidence owner confirmed the record's completeness"
"challenge_performed","a contradictory note was reconciled against the retained source"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
