"field","review_value"
"evidence_question","Which source fact would cause the reviewer to accept the control conclusion?"
"source_fact","service owner retained contract evidence for p03-src-006879"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","contract obligation extract"
"review_observation","the owner acknowledged a limitation without weakening traceability"
"challenge_performed","a contradictory note was reconciled against the retained source"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule","Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
