"field"	"review_value"
"evidence_question"	"What minimal trace proves that the control remains attributable to its owner?"
"source_fact"	"detection owner retained coverage record for p03-src-008949"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"contract obligation extract"
"review_observation"	"the reviewer could locate the controlling decision without inference"
"challenge_performed"	"a late evidence submission was separated from the original decision"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule"	"Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
