"field"	"review_value"
"evidence_question"	"How should a conflicting source be handled before the disposition is recorded?"
"source_fact"	"change sponsor retained implementation record for p03-src-005449"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"signed ownership matrix"
"review_observation"	"the owner and custodian were named consistently"
"challenge_performed"	"a single reviewer conclusion was checked for independent challenge"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A file name is not a substitute for the source facts that support the conclusion."
"decision_rule"	"Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
