"field","review_value"
"evidence_question","Which responsibility boundary must be visible before the record is approved?"
"source_fact","records owner retained disposition record for p03-src-004607"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","versioned review register"
"review_observation","the reviewer recorded why an unavailable source was not relied upon"
"challenge_performed","a summary was checked against the underlying decision minute"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule","Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-20"
