"field"	"review_value"
"evidence_question"	"What observable evidence demonstrates that the stated control objective is met?"
"source_fact"	"service owner retained contract evidence for p03-src-006148"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"versioned review register"
"review_observation"	"the control boundary was explained in practical terms"
"challenge_performed"	"a local conclusion was checked for reliance on external access"
"review_profile"	"the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule"	"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
