"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","records owner retained disposition record for p03-src-002595"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","versioned review register"
"review_observation","the source record separated assertion from corroboration"
"challenge_performed","an unassigned exception was tested against the escalation route"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule","Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
