"field","review_value"
"evidence_question","How should a conflicting source be handled before the disposition is recorded?"
"source_fact","change sponsor retained implementation record for p03-src-003152"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","sampled access attestation"
"review_observation","the owner and custodian were named consistently"
"challenge_performed","an ambiguous dependency was clarified before disposition"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule","Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
