field,review_value,review_period,review_period_context
evidence_question,Which responsibility boundary must be visible before the record is approved?,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
source_fact,records owner retained disposition record for p03-src-002798,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
evidence_instrument,recertification record,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_observation,the disposition stated both confidence and residual uncertainty,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
challenge_performed,a policy reference was checked against the operating record,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This reference review guide evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer preserved an escalation decision.
