"field","review_value"
"evidence_question","What observable evidence demonstrates that the stated control objective is met?"
"source_fact","named control owner retained approval boundary for p03-src-003852"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","process walkthrough note"
"review_observation","the evidence sequence exposed a material dependency"
"challenge_performed","a missing date was treated as a traceability concern"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
