"field"	"review_value"
"evidence_question"	"How does the review distinguish complete evidence from an unsupported assertion?"
"source_fact"	"service owner retained contract evidence for p03-src-007949"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"evidence freshness check"
"review_observation"	"the review preserved a clear separation of duties"
"challenge_performed"	"a policy reference was checked against the operating record"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A file name is not a substitute for the source facts that support the conclusion."
"decision_rule"	"Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
